nces,ben,ffl_name,sites,nces_name,nces_schools,latitude,longitude,buildings_lt1_5,buildings_1_5to3,buildings_3to10,buildings_10to25,buildings_25to50,buildings_50to100,buildings_gt100,min_sites_schools,pct_sites_accounted_for ,nces_over_ffl_sites,data_quality_score,capped_buildings_gt50,pct_bldgs_gt50,pct_bldgs_gt50_alt,bldgs_gt50_alt,pct_bldgs_gt50_alt_label
100060,128134,ANDALUSIA CITY SCHOOL DISTRICT,3,ANDALUSIA CITY,3,31.308863,-86.477181,0,0,0,0,10,0,0,3,333%,100%,4,0,0,0,0,0%
100300,128061,BARBOUR COUNTY SCHOOL DISTRICT,6,BARBOUR COUNTY,4,31.8781,-85.4498,0,0,0,0,14,0,0,4,233%,67%,4,0,0,0,0,0%
100330,127910,BESSEMER CITY SCHOOL DISTRICT,10,BESSEMER CITY,9,33.40069,-86.958016,0,0,0,0,10,0,0,9,100%,90%,2,0,0,0,0,0%
100420,127936,BLOUNT COUNTY SCHOOL DISTRICT,15,BLOUNT COUNTY,17,33.945522,-86.476407,0,0,13,0,2,0,0,15,100%,113%,2,0,0,0,0,0%
100420,16045653,HAYDEN ELEMENTARY SCHOOL,1,BLOUNT COUNTY,17,33.945522,-86.476407,0,0,0,1,0,0,0,1,100%,1700%,2,0,0,0,0,0%
100720,128142,CLARKE COUNTY SCHOOL DISTRICT,8,CLARKE COUNTY,8,31.6854,-87.7802,0,0,0,9,0,0,0,8,113%,100%,4,0,0,0,0,0%
100810,128117,COFFEE COUNTY BOARD OF EDUCATION,4,COFFEE COUNTY,4,31.411171,-86.058223,0,0,0,3,21,0,0,4,600%,100%,4,0,0,0,0,0%
100840,39571,CHEROKEE ELEMENTARY SCHOOL,1,COLBERT COUNTY,9,34.716627,-87.690476,0,0,0,0,0,0,0,1,0%,900%,4,0,0,,,NA
100840,128029,COLBERT COUNTY SCHOOL DISTRICT,10,COLBERT COUNTY,9,34.716627,-87.690476,0,0,0,0,0,0,0,9,0%,90%,4,0,0,,,NA
100900,127942,COOSA COUNTY SCHOOL DISTRICT,5,COOSA COUNTY,4,32.8877,-86.2219,0,0,0,0,5,0,0,4,100%,80%,2,0,0,0,0,0%
100930,128133,COVINGTON COUNTY SCHOOL DIST,10,COVINGTON COUNTY,9,31.320345,-86.481408,0,0,0,0,0,0,0,9,0%,90%,4,0,0,,,NA
101080,128115,DALEVILLE CITY SCHOOL DISTRICT,2,DALEVILLE CITY,2,31.315018,-85.71129,0,0,0,0,12,0,0,2,600%,100%,4,0,0,0,0,0%
101470,127996,FAYETTE COUNTY SCHOOL DISTRICT,9,FAYETTE COUNTY,6,33.684716,-87.831995,0,0,0,0,9,0,0,6,100%,67%,2,0,0,0,0,0%
101530,128014,FLORENCE CITY SCHOOL DISTRICT,9,FLORENCE CITY,9,34.794879,-87.67977,0,0,0,0,0,0,0,9,0%,100%,4,0,0,,,NA
101660,128121,GENEVA COUNTY SCHOOL DISTRICT,10,GENEVA COUNTY,9,31.040543,-85.866157,0,0,0,0,0,0,0,9,0%,90%,4,0,0,,,NA
101730,128016,HARTSELLE CITY SCHOOL DIST,7,HARTSELLE CITY,6,34.446265,-86.932049,0,0,0,0,7,0,0,6,100%,86%,2,0,0,0,0,0%
101740,128111,HENRY COUNTY BOARD OF EDUCATION,5,HENRY COUNTY,8,31.566378,-85.251858,0,0,0,16,16,0,0,5,640%,160%,4,0,0,0,0,0%
101800,128038,HUNTSVILLE CITY SCHOOL DIST,46,HUNTSVILLE CITY,50,34.737334,-86.579386,0,0,0,34,0,0,0,46,74%,109%,4,0,0,0,0,0%
101950,128002,LAMAR COUNTY SCHOOL DISTRICT,1,LAMAR COUNTY,5,33.7527,-88.1156,0,0,1,4,0,0,0,1,500%,500%,4,0,0,0,0,0%
102010,128015,LAUDERDALE COUNTY SCHOOL DIST,13,LAUDERDALE COUNTY,13,34.832075,-87.621184,0,0,10,0,0,0,0,13,77%,100%,4,0,0,0,0,0%
102040,128019,LAWRENCE COUNTY SCHOOL DIST,18,LAWRENCE COUNTY,15,34.47098,-87.292632,0,0,0,0,0,0,0,15,0%,83%,4,0,0,,,NA
102190,128080,MACON COUNTY SCHOOL DISTRICT,11,MACON COUNTY,6,32.421574,-85.68574,0,0,0,9,0,0,0,6,82%,55%,4,0,0,0,0,0%
102220,128034,MADISON COUNTY SCHOOL DISTRICT,32,MADISON COUNTY,28,34.784916,-86.522213,0,0,0,0,0,0,0,28,0%,88%,4,0,0,,,NA
102310,128000,MARION COUNTY BOARD OF EDUCATION,11,MARION COUNTY,12,34.116742,-87.994357,0,0,12,0,0,0,0,11,109%,109%,3,0,0,0,0,0%
102400,128144,MONROE COUNTY SCHOOL DISTRICT,13,MONROE COUNTY,11,31.5224,-87.3231,0,0,0,12,0,0,0,11,92%,85%,3,0,0,0,0,0%
102550,127937,ONEONTA CITY SCHOOL DISTRICT,1,ONEONTA CITY,2,33.861916,-86.556297,0,0,0,0,1,0,0,1,100%,200%,2,0,0,0,0,0%
102610,128147,OPP CITY SCHOOL DISTRICT,4,OPP CITY,3,31.286168,-86.252051,0,0,0,4,0,0,0,3,100%,75%,2,0,0,0,0,0%
102700,128202,PHENIX CITY SCHOOL DISTRICT,14,PHENIX CITY,11,32.469692,-85.004635,0,0,0,6,0,0,0,11,43%,79%,4,0,0,0,0,0%
102790,128079,PIKE COUNTY SCHOOL DISTRICT,9,PIKE COUNTY,7,31.806607,-85.972377,0,0,0,0,26,0,0,7,289%,78%,4,0,0,0,0,0%
102820,16062074,WEDOWEE ELEMENTARY SCHOOL,1,RANDOLPH COUNTY,7,33.309404,-85.484625,0,0,0,1,0,0,0,1,100%,700%,2,0,0,0,0,0%
103120,127945,SYLACAUGA CITY SCHOOL DISTRICT,4,SYLACAUGA CITY,5,33.172764,-86.258007,0,0,0,0,5,0,0,4,125%,125%,4,0,0,0,0,0%
103300,128185,THOMASVILLE CITY SCHOOL DIST,3,THOMASVILLE CITY,3,31.889048,-87.740796,0,0,0,0,4,0,0,3,133%,100%,4,0,0,0,0,0%
103330,128077,TROY CITY BOARD OF EDUCATION,5,TROY CITY,4,31.80755,-85.964391,0,0,0,0,0,0,0,4,0%,80%,4,0,0,,,NA
103420,128030,TUSCUMBIA CITY SCHOOL DISTRICT,4,TUSCUMBIA CITY,7,34.737924,-87.700437,0,0,0,9,0,0,0,4,225%,175%,4,0,0,0,0,0%
103510,128173,WILCOX COUNTY SCHOOL DISTRICT,7,WILCOX COUNTY,7,32.197389,-87.382373,0,0,0,0,1,0,0,7,14%,100%,4,0,0,0,0,0%
200004,145556,YUPIIT SCHOOL DISTRICT,6,YUPIIT SCHOOL DISTRICT,3,60.8947,-161.3892,0,0,0,5,0,0,0,3,83%,50%,4,0,0,0,0,0%
200005,145567,KASHUNAMIUT SCHOOL DISTRICT,2,KASHUNAMIUT SCHOOL DISTRICT,1,61.5307,-165.5846,0,0,2,0,0,0,0,1,100%,50%,2,0,0,0,0,0%
200007,145607,ALEUTIAN EAST BOROUGH SCH DIST,6,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,6,55.3402,-160.4971,3,0,0,0,0,0,0,6,50%,100%,4,0,0,0,0,0%
200010,145618,ALEUTIAN REGION SCHOOL DIST,2,ALEUTIAN REGION SCHOOL DISTRICT,2,61.173624,-149.88202,3,0,1,1,0,0,0,2,250%,100%,4,0,0,0,0,0%
200020,145617,BERING STRAIT SCHOOL DISTRICT,17,BERING STRAIT SCHOOL DISTRICT,15,63.8746,-160.7897,0,0,14,1,0,0,0,15,88%,88%,4,0,0,0,0,0%
200030,145594,BRISTOL BAY BOROUGH SCH DIST,4,BRISTOL BAY BOROUGH SCHOOL DISTRICT,2,58.733351,-157.005299,0,0,2,0,0,0,0,2,50%,50%,4,0,0,0,0,0%
200050,145659,ALASKA GATEWAY SCHOOL DISTRICT,8,ALASKA GATEWAY SCHOOL DISTRICT,8,63.3336,-142.957,0,0,4,0,1,0,0,8,63%,100%,4,0,0,0,0,0%
200060,145571,CORDOVA CITY SCHOOL DISTRICT,3,CORDOVA CITY SCHOOL DISTRICT,2,60.54034,-145.75872,0,0,2,0,0,0,0,2,67%,67%,4,0,0,0,0,0%
200070,145576,COPPER RIVER SCHOOL DISTRICT,5,COPPER RIVER SCHOOL DISTRICT,7,62.112961,-145.526232,0,0,0,5,0,0,0,5,100%,140%,2,0,0,0,0,0%
200090,145689,CRAIG CITY SCHOOL DISTRICT,6,CRAIG CITY SCHOOL DISTRICT,5,55.4879,-133.1286,0,0,2,2,0,0,0,5,67%,83%,4,0,0,0,0,0%
200100,145633,DELTA-GREELY SCHOOL DISTRICT,8,DELTA/GREELY SCHOOL DISTRICT,6,64.0471,-145.7165,1,0,0,4,0,0,0,6,63%,75%,4,0,0,0,0,0%
